[32m00:21:32 (806513) INFO ProjectReader[39m Found 10 of 149 file(s) to be mutated.
[32m00:21:33 (806513) INFO Instrumenter[39m Instrumented 10 source file(s) with 298 mutant(s)
[32m00:21:33 (806513) INFO ConcurrencyTokenProvider[39m Creating 1 test runner process(es).
[32m00:21:34 (806513) INFO BroadcastReporter[39m Detected that current console does not support the "progress" reporter, downgrading to "progress-append-only" reporter
[32m00:21:35 (806513) INFO DryRunExecutor[39m Starting initial test run (jest test runner with "off" coverage analysis). This may take a while.
[32m00:21:41 (806513) INFO DryRunExecutor[39m Initial test run succeeded. Ran 110 tests in 6 seconds (net 1653 ms, overhead 4761 ms).
Mutation testing 1% (elapsed: <1m, remaining: ~16m) 3/295 tested (0 survived, 0 timed out)
Mutation testing 2% (elapsed: <1m, remaining: ~16m) 6/295 tested (0 survived, 0 timed out)
Mutation testing 3% (elapsed: <1m, remaining: ~15m) 9/295 tested (0 survived, 0 timed out)
Mutation testing 4% (elapsed: <1m, remaining: ~15m) 12/295 tested (0 survived, 0 timed out)
Mutation testing 5% (elapsed: <1m, remaining: ~14m) 16/295 tested (0 survived, 0 timed out)
Mutation testing 6% (elapsed: ~1m, remaining: ~14m) 19/295 tested (0 survived, 0 timed out)
Mutation testing 7% (elapsed: ~1m, remaining: ~14m) 22/295 tested (0 survived, 0 timed out)
Mutation testing 8% (elapsed: ~1m, remaining: ~14m) 25/295 tested (0 survived, 0 timed out)
Mutation testing 9% (elapsed: ~1m, remaining: ~14m) 27/295 tested (0 survived, 0 timed out)
Mutation testing 9% (elapsed: ~1m, remaining: ~15m) 29/295 tested (0 survived, 0 timed out)
Mutation testing 10% (elapsed: ~1m, remaining: ~15m) 31/295 tested (0 survived, 0 timed out)
Mutation testing 11% (elapsed: ~2m, remaining: ~15m) 33/295 tested (0 survived, 0 timed out)
Mutation testing 12% (elapsed: ~2m, remaining: ~15m) 36/295 tested (0 survived, 0 timed out)
Mutation testing 13% (elapsed: ~2m, remaining: ~15m) 39/295 tested (0 survived, 0 timed out)
Mutation testing 14% (elapsed: ~2m, remaining: ~15m) 42/295 tested (0 survived, 0 timed out)
Mutation testing 14% (elapsed: ~2m, remaining: ~15m) 43/295 tested (0 survived, 0 timed out)
Mutation testing 15% (elapsed: ~2m, remaining: ~15m) 45/295 tested (0 survived, 0 timed out)
Mutation testing 15% (elapsed: ~3m, remaining: ~15m) 47/295 tested (0 survived, 0 timed out)
Mutation testing 16% (elapsed: ~3m, remaining: ~15m) 49/295 tested (0 survived, 0 timed out)
Mutation testing 17% (elapsed: ~3m, remaining: ~15m) 51/295 tested (0 survived, 0 timed out)
Mutation testing 17% (elapsed: ~3m, remaining: ~15m) 53/295 tested (0 survived, 0 timed out)
Mutation testing 18% (elapsed: ~3m, remaining: ~16m) 55/295 tested (0 survived, 0 timed out)
Mutation testing 19% (elapsed: ~3m, remaining: ~16m) 57/295 tested (0 survived, 0 timed out)
Mutation testing 20% (elapsed: ~4m, remaining: ~16m) 59/295 tested (0 survived, 0 timed out)
Mutation testing 20% (elapsed: ~4m, remaining: ~15m) 61/295 tested (0 survived, 0 timed out)
Mutation testing 21% (elapsed: ~4m, remaining: ~15m) 63/295 tested (0 survived, 0 timed out)
Mutation testing 22% (elapsed: ~4m, remaining: ~15m) 65/295 tested (0 survived, 0 timed out)
Mutation testing 23% (elapsed: ~4m, remaining: ~15m) 68/295 tested (0 survived, 0 timed out)
Mutation testing 23% (elapsed: ~4m, remaining: ~16m) 68/295 tested (0 survived, 0 timed out)
Mutation testing 23% (elapsed: ~5m, remaining: ~16m) 68/295 tested (0 survived, 0 timed out)
Mutation testing 23% (elapsed: ~5m, remaining: ~17m) 68/295 tested (0 survived, 0 timed out)
Mutation testing 23% (elapsed: ~5m, remaining: ~17m) 68/295 tested (0 survived, 0 timed out)
Mutation testing 24% (elapsed: ~5m, remaining: ~17m) 71/295 tested (0 survived, 1 timed out)
Mutation testing 24% (elapsed: ~5m, remaining: ~17m) 73/295 tested (0 survived, 1 timed out)
Mutation testing 24% (elapsed: ~5m, remaining: ~17m) 73/295 tested (0 survived, 1 timed out)
Mutation testing 24% (elapsed: ~6m, remaining: ~18m) 73/295 tested (0 survived, 1 timed out)
Mutation testing 24% (elapsed: ~6m, remaining: ~18m) 73/295 tested (0 survived, 1 timed out)
Mutation testing 25% (elapsed: ~6m, remaining: ~18m) 74/295 tested (0 survived, 2 timed out)
Mutation testing 26% (elapsed: ~6m, remaining: ~18m) 77/295 tested (0 survived, 2 timed out)
Mutation testing 26% (elapsed: ~6m, remaining: ~18m) 79/295 tested (0 survived, 2 timed out)
Mutation testing 26% (elapsed: ~6m, remaining: ~18m) 79/295 tested (0 survived, 2 timed out)
Mutation testing 26% (elapsed: ~7m, remaining: ~19m) 79/295 tested (0 survived, 2 timed out)
Mutation testing 26% (elapsed: ~7m, remaining: ~19m) 79/295 tested (0 survived, 2 timed out)
Mutation testing 27% (elapsed: ~7m, remaining: ~19m) 80/295 tested (0 survived, 3 timed out)
Mutation testing 28% (elapsed: ~7m, remaining: ~19m) 83/295 tested (0 survived, 3 timed out)
Mutation testing 28% (elapsed: ~7m, remaining: ~18m) 85/295 tested (0 survived, 3 timed out)
Mutation testing 28% (elapsed: ~7m, remaining: ~19m) 85/295 tested (0 survived, 3 timed out)
Mutation testing 28% (elapsed: ~8m, remaining: ~19m) 85/295 tested (0 survived, 3 timed out)
Mutation testing 28% (elapsed: ~8m, remaining: ~20m) 85/295 tested (0 survived, 3 timed out)
Mutation testing 29% (elapsed: ~8m, remaining: ~20m) 86/295 tested (0 survived, 4 timed out)
Mutation testing 30% (elapsed: ~8m, remaining: ~19m) 89/295 tested (0 survived, 4 timed out)
Mutation testing 31% (elapsed: ~8m, remaining: ~18m) 93/295 tested (0 survived, 4 timed out)
Mutation testing 32% (elapsed: ~8m, remaining: ~18m) 96/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~17m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~18m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~18m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~18m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~19m) 99/295 tested (0 survived, 4 timed out)
Mutation testing 33% (elapsed: ~9m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~19m) 100/295 tested (0 survived, 5 timed out)
Mutation testing 33% (elapsed: ~10m, remaining: ~20m) 100/295 tested (0 survived, 5 timed out)
